date,display_date,description,link,series,html
"August 26, 2014",,,,Print Ad,"<div class=""detail media print-ad"">
  <div class=""image_wrapper clearfix img"">
    <a href=""http://www.counterpac.org/timelines/images/2014_CO6_print-lrg.jpg"" target=""_blank"" class=""fancybox"">
      <img src=""http://www.counterpac.org/timelines/images/icon_image-expand.png"" class=""expand-icon"" />
      <img src=""http://www.counterpac.org/timelines/images/2014_CO6_print.jpg"" class=""print_img"" />
    </a>
  </div>
  <div class=""bd"">
    <span class=""date"">August 26, 2014</span>
    <strong class=""title"">CounterPAC runs Ad in the Denver Post</strong>
    <p class=""desc"">We challenged Andrew Romanoff and Mike Coffman to take the CounterPAC ""No Dark Money"" pledge by running a full page ad in the Denver Post.
    </p>
  </div>
</div>"
"September 3, 2014",,,,Press,"<div class=""detail press"">
  <div class=""bd"">
    <span class=""date"">September 3, 2014</span>
    <strong class=""title"">A new PAC's challenge to Coffman, Romanoff - Reject spending of ""secret money""</strong>
    <span class=""source"">The Denver Post</span>
    <p class=""desc"">A challenge to U.S. Rep. Mike Coffman and Democratic opponent Andrew Romanoff to reject all “secret money” in their race - essentially, some of the millions spent by outside groups to influence the election - isn’t gaining much traction. Coffman has brushed off the suggestion, while Romanoff says he’s in - but only if Coffman agrees.
    </p>
    <a href=""http://blogs.denverpost.com/thespot/2014/09/03/a-new-pacs-challenge-to-coffman-romanoff-reject-spending-of-secret-money/112083/"" target=""_blank"" class=""article"">Read Article &raquo;</a>
  </div>
</div>"
"September 14, 2014",,,,Broadcast Ad,"<div class=""detail broadcast-ad"">
  <div class=""video_wrapper"">
    <a href=""https://www.youtube.com/watch?v=PTHqcd0m9FQ"" target=""_blank"" class=""fancybox-vid fancybox.iframe"">
      <img src=""http://www.counterpac.org/timelines/images/icon_video-play.png"" class=""play-icon"" />
      <img src=""http://www.counterpac.org/timelines/images/2014_CO6_broadcast.jpg""  class=""video-thumb"" />
    </a>
  </div>
  <div>
    <span class=""date"">September 16, 2014</span>
    <strong class=""title"">""Dark Money Mike""</strong>
    <p class=""desc"">Why has Mike Coffman chosen secret donors over voters?
    </p>
  </div>
</div>"
"September 15, 2014",,,,Press,"<div class=""detail press"">
  <div class=""bd"">
    <span class=""date"">September 15, 2014</span>
    <strong class=""title"">Group targets Mike Coffman with ad after he declines money pledge</strong>
    <span class=""source"">The Denver Post</span>
    <p class=""desc"">A political-action committee is hitting U.S. Rep. Mike Coffman with a new hard-edged TV ad after Coffman declined its challenge to disavow some types of outside spending in his race for re-election. We reported previously that CounterPAC is a political-action committee set up by wealthy tech donors to pressure candidates in some competitive races - including Colorado’s 6th Congressional District - into discouraging outside “dark money” spending from groups that are able to shield their donors.
    </p>
    <a href=""http://blogs.denverpost.com/thespot/2014/09/03/a-new-pacs-challenge-to-coffman-romanoff-reject-spending-of-secret-money/112083/"" target=""_blank"" class=""article"">Read Article &raquo;</a>
  </div>
</div>"
"September 16, 2014",,,,Press,"<div class=""detail press"">
  <div class=""bd"">
    <span class=""date"">September 15, 2014</span>
    <strong class=""title"">Super PAC goes negative on Coffman</strong>
    <span class=""source"">Politico Morning Score</span>
    <p class=""desc"">CounterPAC, a recently formed group opposing so-called “dark money,” is going up this week with an ad lambasting GOP Rep. Mike Coffman in Colorado’s 6th District for not signing the group’s pledge. The ad speculates about the identities of donors to pro-Coffman groups. It’s backed by six figures on Denver broadcast for a week, said the group.
    </p>
    <a href=""http://www.politico.com/morningscore/0914/morningscore15300.html"" target=""_blank"" class=""article"">Read Article &raquo;</a>
  </div>
</div>"
"September 17, 2014",,,,Press,"<div class=""detail press"">
  <div class=""bd"">
    <span class=""date"">September 15, 2014</span>
    <strong class=""title"">Group hits Rep. Coffman on ""dark"" money</strong>
    <span class=""source"">KUSA 9 News</span>
    <p class=""desc"">A group hoping to combat secret money in politics is airing an ad against Rep. Mike Coffman.</p>
     <p class=""desc"">
CounterPAC accuses Coffman of refusing to reject support from third party groups that don't disclose their donors. Coffman is a Republican. His Democratic opponent, Andrew Romanoff, said he'd tell those groups not to help him if Coffman did the same.
    </p>
    <a href=""http://www.9news.com/story/news/local/2014/09/15/group-hits-rep-coffman-on-dark-money/15680589/"" target=""_blank"" class=""article"">Read Article &raquo;</a>
  </div>
</div>"
"September 18, 2014",,,,Press,"<div class=""detail press"">
  <div class=""bd"">
    <span class=""date"">September 16, 2014</span>
    <strong class=""title"">Mike Coffman Demands TV stations drop CounterPAC ad with money claims</strong>
    <span class=""source"">The Denver Post</span>
    <p class=""desc"">U.S. Rep. Mike Coffman’s campaign has sent cease-and-desist letters to four Denver TV stations airing an ad that makes wild claims about the potential financial backers of outside groups supporting Coffman. The ad by CounterPAC, funded by a group of tech donors, was in response to Coffman declining to take CounterPAC’s pledge to discourage spending by outside groups that don’t disclose their donors.
    </p>
    <a href=""http://blogs.denverpost.com/thespot/2014/09/16/mike-coffman-demands-tv-stations-stop-airing-counterpac-ad-hits-money/112875/"" target=""_blank"" class=""article"">Read Article &raquo;</a>
  </div>
</div>"
"September 19, 2014",,,,Press,"<div class=""detail press"">
  <div class=""bd"">
    <span class=""date"">September 16, 2014</span>
    <strong class=""title"">Coffman campaign threatens TV stations over ad</strong>
    <span class=""source"">KUSA 9 News</span>
    <p class=""desc"">The campaign for Rep. Mike Coffman (R-Colorado) sent cease and desist lettersto TV stations in Colorado Monday, threatening legal action over a third-party group's ad attacking the incumbent candidate over the issue of undisclosed political spending.
    </p>
    <a href=""http://www.9news.com/story/news/politics/2014/09/16/coffman-campaign-threatens-tv-stations-over-ad/15735253/"" target=""_blank"" class=""article"">Read Article &raquo;</a>
  </div>
</div>"
"September 20, 2014",,,,Press,"<div class=""detail press"">
  <div class=""bd"">
    <span class=""date"">September 17, 2014</span>
    <strong class=""title"">GOP Lawmaker Presses TV Stations To Pull Attack Ad Off The Airwaves</strong>
    <span class=""source"">The Daily Caller</span>
    <p class=""desc"">Colorado Republican Rep. Mike Coffman is crying foul over an independent attack ad that insinuates that his campaign is being funded by shady foreigners and Wall Street crooks, insisting that Colorado TV stations pull the spot from the airwaves.</p>
    <p class=""desc"">
The ad, paid for by a group called CounterPAC, slams Coffman for not signing a pledge to reject so-called “dark money” contributions that can’t be traced. Coffman’s opponent, Democrat Andrew Romanoff has agreed to reject such funds, the ad claims.ons.
    </p>
    <a href=""http://dailycaller.com/2014/09/17/gop-lawmaker-presses-tv-stations-to-pull-attack-ad-off-the-airwaves/"" target=""_blank"" class=""article"">Read Article &raquo;</a>
  </div>
</div>"
"October 21, 2014",,,,Press,"<div class=""detail press"">
  <div class=""bd"">
    <span class=""date"">October 21, 2014</span>
    <strong class=""title"">Andrew Romanoff's past and Mike Coffman's spending attract criticism</strong>
    <span class=""source"">The Denver Post</span>
    <p class=""desc"">Lately, he's also sparred with Coffman, who accepts PAC money, over a challenge by a group named CounterPAC. The group wants both to discourage outside spending, or ""dark money,"" by groups that don't disclose their donors. Romanoff said he would, but Coffman's campaign has questioned CounterPAC's motivations.
    </p>
    <a href=""http://www.denverpost.com/election2014/ci_26575469/andrew-romanoffs-past-and-mike-coffmans-spending-attract"" target=""_blank"" class=""article"">Read Article &raquo;</a>
  </div>
</div>"
